rank,name,url,age,height,roles,titles,aliases
145,Claire Foy,https://pro.imdb.com/name/nm2946516/graph?ref_=nm_mtr,34,5' 4",Actress,The Crown|Season of the Witch|Breathe,
146,Olivia Cooke,https://pro.imdb.com/name/nm4972453/graph?ref_=nm_mtr,24,5' 5½",Actress|Soundtrack,Ready Player One|Me and Earl and the Dying Girl|Ouija,
147,Stephanie Corneliussen,https://pro.imdb.com/name/nm4066934/graph?ref_=nm_mtr,,5' 11",Actress,Mr. Robot|The Rebels|Legends of Tomorrow,
148,Dakota Fanning,https://pro.imdb.com/name/nm0266824/graph?ref_=nm_mtr,24,5' 4",Actress|Soundtrack|Director,War of the Worlds|I Am Sam|Man on Fire,Kota
149,Emma Kenney,https://pro.imdb.com/name/nm3160752/graph?ref_=nm_mtr,18,5' 7",Actress|Soundtrack,Shameless|Epic|Bittersweet,
150,Parker Posey,https://pro.imdb.com/name/nm0000205/graph?ref_=nm_mtr,49,5' 5",Actress|Soundtrack|Writer,Superman Returns|Scream 3|Blade: Trinity,Missy|Queen of the Indies
151,Christa Miller,https://pro.imdb.com/name/nm0588096/graph?ref_=nm_mtr,54,5' 8½",Actress|Music Department|Soundtrack,Scrubs|The Drew Carey Show|Cougar Town,Christa Miller Lawrence
152,Johnny Depp,https://pro.imdb.com/name/nm0000136/graph?ref_=nm_mtr,54,5' 10",Actor|Producer|Soundtrack,Pirates of the Caribbean: The Curse of the Black Pearl|Sweeney Todd: The Demon Barber of Fleet Street|Pirates of the Caribbean: At World's End,J. Depp|The Hollywood Vampires|Guy Lapointe
153,Daisy Ridley,https://pro.imdb.com/name/nm5397459/graph?ref_=nm_mtr,26,5' 7",Actress|Producer|Soundtrack,Star Wars: Episode VII - The Force Awakens|Star Wars: The Last Jedi|Murder on the Orient Express,
154,Bruce Willis,https://pro.imdb.com/name/nm0000246/graph?ref_=nm_mtr,63,6' 0",Actor|Soundtrack|Producer,Die Hard|Pulp Fiction|Moonlighting,W.B. Willis|Bruno
155,Hugh Jackman,https://pro.imdb.com/name/nm0413168/graph?ref_=nm_mtr,49,6' 2¼",Actor|Soundtrack|Producer,Les Misérables|Logan|X-Men Origins: Wolverine,Khyu Dzhekman|Hyû Jakkuman
156,Pom Klementieff,https://pro.imdb.com/name/nm2962353/graph?ref_=nm_mtr,32,5' 7",Actress,Guardians of the Galaxy Vol. 2|Old Boy|Avengers: Infinity War,Pominator
157,Amy Schumer,https://pro.imdb.com/name/nm2154960/graph?ref_=nm_mtr,37,5' 7",Writer|Actress|Producer,Trainwreck|Inside Amy Schumer|Snatched,Amy Beth Schumer|Amy Shumer
158,Brigitte Nielsen,https://pro.imdb.com/name/nm0000557/graph?ref_=nm_mtr,54,6' 1",Actress|Soundtrack|Producer,Red Sonja|Beverly Hills Cop II|Gitte Talks,Brigitte Neilsen|Gitte Nielsen|The Great Dane
159,Luke Hemsworth,https://pro.imdb.com/name/nm1292661/graph?ref_=nm_mtr,,5' 9½",Actor|Miscellaneous Crew,Thor: Ragnarok|Westworld|Thor: The Dark World,
160,Joel Kinnaman,https://pro.imdb.com/name/nm1172478/graph?ref_=nm_mtr,,6' 2½",Actor,RoboCop|Suicide Squad|The Darkest Hour,Joel Kinnamann|Joel Nordström
161,Elle Fanning,https://pro.imdb.com/name/nm1102577/graph?ref_=nm_mtr,20,5' 9",Actress|Soundtrack|Producer,Super 8|The Neon Demon|Maleficent,Elbow
162,Lili Reinhart,https://pro.imdb.com/name/nm3929887/graph?ref_=nm_mtr,21,5' 6",Actress|Soundtrack,Riverdale|The Kings of Summer|The First Hope,Lil
163,Letitia Wright,https://pro.imdb.com/name/nm4004793/graph?ref_=nm_mtr,24,,Actress|Soundtrack,Black Panther|The Commuter|Black Mirror,
164,Cillian Murphy,https://pro.imdb.com/name/nm0614165/graph?ref_=nm_mtr,42,5' 9",Actor|Producer|Soundtrack,28 Days Later...|Inception|Red Eye,Cilly
165,Idina Menzel,https://pro.imdb.com/name/nm0579953/graph?ref_=nm_mtr,47,5' 4",Actress|Soundtrack|Music Department,Frozen|Rent|Enchanted,Dee|Adele Dazeem
166,Anne Hathaway,https://pro.imdb.com/name/nm0004266/graph?ref_=nm_mtr,35,5' 8",Actress|Soundtrack|Producer,Les Misérables|The Dark Knight Rises|Rachel Getting Married,An Hasawei|Anne Whitney Hathaway|Ann Hathaway
167,Suki Waterhouse,https://pro.imdb.com/name/nm4025229/graph?ref_=nm_mtr,26,5' 8½",Actress|Producer,Insurgent|Love, Rosie|The Bad Batch,
168,Joseph Fiennes,https://pro.imdb.com/name/nm0001212/graph?ref_=nm_mtr,48,6' 0",Actor|Director|Producer,Shakespeare in Love|The Merchant of Venice|Elizabeth,Joe
169,Walton Goggins,https://pro.imdb.com/name/nm0324658/graph?ref_=nm_mtr,46,5' 11",Actor|Producer,Justified|The Hateful Eight|Predators,Walt Goggins
170,Tom Hanks,https://pro.imdb.com/name/nm0000158/graph?ref_=nm_mtr,61,6' 0",Producer|Actor|Soundtrack,Cast Away|Saving Private Ryan|Forrest Gump,Tomu Hankusu
171,Rosamund Pike,https://pro.imdb.com/name/nm0683253/graph?ref_=nm_mtr,39,5' 8½",Actress|Soundtrack,Gone Girl|Die Another Day|Pride &amp; Prejudice,Ros
172,Isla Fisher,https://pro.imdb.com/name/nm0279545/graph?ref_=nm_mtr,42,5' 3",Actress|Producer|Soundtrack,Wedding Crashers|Confessions of a Shopaholic|Rise of the Guardians,Ayala Fisher
173,Joel Courtney,https://pro.imdb.com/name/nm1525807/graph?ref_=nm_mtr,22,6' 1¼",Actor|Soundtrack|Miscellaneous Crew,Super 8|F*&amp;% the Prom|The Messengers,Joel Dabney Courtney
174,John Wayne,https://pro.imdb.com/name/nm0000078/graph?ref_=nm_mtr,,6' 4",Actor|Producer|Soundtrack,True Grit|The Man Who Shot Liberty Valance|The Alamo,Michael Morris|Duke Morrison|Marion Michael Morrison
175,Clint Walker,https://pro.imdb.com/name/nm0907636/graph?ref_=nm_mtr,,6' 6",Actor|Soundtrack,The Dirty Dozen|Small Soldiers|Send Me No Flowers,
176,Alison Brie,https://pro.imdb.com/name/nm1555340/graph?ref_=nm_mtr,35,5' 3",Actress|Producer|Soundtrack,The Lego Movie|Community|Sleeping with Other People,
177,Quentin Tarantino,https://pro.imdb.com/name/nm0000233/graph?ref_=nm_mtr,55,6' 1",Writer|Actor|Producer,Reservoir Dogs|Pulp Fiction|The Hateful Eight,Q|Quentin Tarrantino|QT
178,Dave Bautista,https://pro.imdb.com/name/nm1176985/graph?ref_=nm_mtr,49,6' 4",Actor|Producer|Miscellaneous Crew,Guardians of the Galaxy|Avengers: Infinity War|Guardians of the Galaxy Vol. 2,Dave Batista|Deacon Batista|Batista
179,Emmy Rossum,https://pro.imdb.com/name/nm0002536/graph?ref_=nm_mtr,31,5' 8",Actress|Soundtrack|Director,The Phantom of the Opera|The Day After Tomorrow|Shameless,Em|Emmy Grey
180,Katheryn Winnick,https://pro.imdb.com/name/nm0935395/graph?ref_=nm_mtr,,5' 6",Actress|Soundtrack|Miscellaneous Crew,Vikings|50 First Dates|Killers,
181,Travis Fimmel,https://pro.imdb.com/name/nm1379938/graph?ref_=nm_mtr,38,6' 0¼",Actor|Producer|Writer,Warcraft: The Beginning|Vikings|The Baytown Outlaws,Rangi
182,Warwick Davis,https://pro.imdb.com/name/nm0001116/graph?ref_=nm_mtr,48,3' 6",Actor|Writer|Producer,Willow|The Hitchhiker's Guide to the Galaxy|Harry Potter and the Deathly Hallows: Part 2,Warwick Davies
183,Annabelle Wallis,https://pro.imdb.com/name/nm1834115/graph?ref_=nm_mtr,,5' 7",Actress|Soundtrack,The Mummy|Annabelle|X-Men: First Class,Annabella Wallace|Annabelle Wallace|Annabele Wallis
184,Asia Kate Dillon,https://pro.imdb.com/name/nm3545872/graph?ref_=nm_mtr,33,5' 7",Actor,Orange Is the New Black|Billions|Opus for All,Asia Dillon
185,Jennifer Aniston,https://pro.imdb.com/name/nm0000098/graph?ref_=nm_mtr,49,5' 4¾",Actress|Producer|Soundtrack,Friends|Cake|We're the Millers,Jennifer Joanna Aniston|Jennifer Aniston Arquette|Jennifer Aniston Pitt
186,Zachary Levi,https://pro.imdb.com/name/nm1157048/graph?ref_=nm_mtr,37,6' 4",Actor|Producer|Soundtrack,Chuck|Tangled|Thor: The Dark World,Zac
187,Diane Lane,https://pro.imdb.com/name/nm0000178/graph?ref_=nm_mtr,53,5' 7",Actress|Soundtrack,Unfaithful|Under the Tuscan Sun|Inside Out,Diane Brolin
188,Elisabeth Shue,https://pro.imdb.com/name/nm0000223/graph?ref_=nm_mtr,54,5' 2",Actress|Soundtrack|Producer,Leaving Las Vegas|Adventures in Babysitting|The Saint,Lisa Shue|Lisa
189,Lauren Cohan,https://pro.imdb.com/name/nm1659348/graph?ref_=nm_mtr,36,5' 7",Actress|Soundtrack,The Boy|Batman v Superman: Dawn of Justice|Casanova,
190,Jake Gyllenhaal,https://pro.imdb.com/name/nm0350453/graph?ref_=nm_mtr,37,6' 0¼",Actor|Producer|Camera and Electrical Department,Nightcrawler|Brokeback Mountain|Prisoners,Jacob Gyllenhaal|Jake Gyllenhall
191,Alice Eve,https://pro.imdb.com/name/nm1404408/graph?ref_=nm_mtr,36,5' 5½",Actress|Producer|Director,Before We Go|She's Out of My League|Star Trek: Into Darkness,
192,Henry Cavill,https://pro.imdb.com/name/nm0147147/graph?ref_=nm_mtr,35,6' 1",Actor,Man of Steel|Batman v Superman: Dawn of Justice|The Man from U.N.C.L.E.,Hank|Henners|Most Dashing Duke
193,Jason Bateman,https://pro.imdb.com/name/nm0000867/graph?ref_=nm_mtr,49,5' 11",Actor|Producer|Director,Arrested Development|Bad Words|Zootopia,
194,Lily-Rose Depp,https://pro.imdb.com/name/nm6675440/graph?ref_=nm_mtr,19,5' 3",Actress|Soundtrack,Tusk|Yoga Hosers|The Dancer,Lily-Rose Melody Depp|Lily
195,Zooey Deschanel,https://pro.imdb.com/name/nm0221046/graph?ref_=nm_mtr,38,5' 5",Actress|Producer|Music Department,New Girl|500 Days of Summer|The Hitchhiker's Guide to the Galaxy,She &amp; Him|Zo|Zuzu
196,Kate Walsh,https://pro.imdb.com/name/nm0005532/graph?ref_=nm_mtr,50,5' 8½",Actress|Producer|Soundtrack,The Perks of Being a Wallflower|Grey's Anatomy|Legion,Katie|Katiekat|K-Town
197,Angela Sarafyan,https://pro.imdb.com/name/nm1494168/graph?ref_=nm_mtr,34,5' 8",Actress|Producer,Westworld,
198,Mila Kunis,https://pro.imdb.com/name/nm0005109/graph?ref_=nm_mtr,34,5' 4",Actress|Soundtrack|Producer,Black Swan|Jupiter Ascending|Bad Moms,Mila Kunas|Goldfish
199,Devin Druid,https://pro.imdb.com/name/nm4917921/graph?ref_=nm_mtr,,6' 0",Actor,Louder Than Bombs|Imperium|13 Reasons Why,Devin McKenzie Druid
200,Christian Bale,https://pro.imdb.com/name/nm0000288/graph?ref_=nm_mtr,44,6' 0¼",Actor|Editorial Department|Producer,The Dark Knight|Batman Begins|American Hustle,
201,Amber Heard,https://pro.imdb.com/name/nm1720028/graph?ref_=nm_mtr,32,5' 7",Actress|Producer|Soundtrack,The Rum Diary|Machete Kills|3 Days to Kill,
202,Carla Gugino,https://pro.imdb.com/name/nm0001303/graph?ref_=nm_mtr,46,5' 5",Actress|Soundtrack|Producer,Watchmen|Gerald's Game|San Andreas,Taryn Gugino
203,Zoey Deutch,https://pro.imdb.com/name/nm3614913/graph?ref_=nm_mtr,23,5' 4",Actress|Producer|Soundtrack,Before I Fall|Everybody Wants Some!!|Why Him?,
204,Shioli Kutsuna,https://pro.imdb.com/name/nm3101617/graph?ref_=nm_mtr,25,5' 2",Actress,Deadpool 2|The Outsider|My Back Pages,Shiori Kutsuna
205,Stephanie Beatriz,https://pro.imdb.com/name/nm3715867/graph?ref_=nm_mtr,,5' 6",Actress|Producer|Soundtrack,Short Term 12|Brooklyn Nine-Nine|Ice Age: Collision Course,Steph
206,Jennifer Ellison,https://pro.imdb.com/name/nm0255204/graph?ref_=nm_mtr,35,5' 5¾",Actress|Soundtrack,The Phantom of the Opera|The Cottage|Hotel Babylon,Jen
207,Charlie Hunnam,https://pro.imdb.com/name/nm0402271/graph?ref_=nm_mtr,38,6' 0",Actor|Producer|Writer,Sons of Anarchy|Pacific Rim|King Arthur: Legend of the Sword,Charlie
208,Jon Favreau,https://pro.imdb.com/name/nm0269463/graph?ref_=nm_mtr,51,6' 1",Producer|Actor|Director,Chef|Swingers|Iron Man,John Favreau|Favs|Mark Johnstan
209,Alicia Silverstone,https://pro.imdb.com/name/nm0000224/graph?ref_=nm_mtr,41,5' 5",Actress|Producer|Soundtrack,Clueless|Batman &amp; Robin|Blast from the Past,Queen Slice
210,Amanda Abbington,https://pro.imdb.com/name/nm0007893/graph?ref_=nm_mtr,44,5' 4",Actress,Sherlock|Swinging with the Finkels|Mr Selfridge,
211,Sara Gilbert,https://pro.imdb.com/name/nm0004960/graph?ref_=nm_mtr,43,5' 2",Producer|Actress|Miscellaneous Crew,Roseanne|Poison Ivy|Sudie and Simpson,Sara Abeles
212,Gabriel Macht,https://pro.imdb.com/name/nm0532683/graph?ref_=nm_mtr,46,6' 0",Actor|Producer|Director,The Good Shepherd|The Recruit|Because I Said So,Gabriel Swann
213,Millie Bobby Brown,https://pro.imdb.com/name/nm5611121/graph?ref_=nm_mtr,14,5' 4",Actress|Soundtrack|Producer,Stranger Things|NCIS|Godzilla: King of the Monsters,Millie Brown|Millster
214,Ellie Kemper,https://pro.imdb.com/name/nm2608689/graph?ref_=nm_mtr,38,5' 5",Actress|Soundtrack,Bridesmaids|21 Jump Street|Unbreakable Kimmy Schmidt,
215,Joel Edgerton,https://pro.imdb.com/name/nm0249291/graph?ref_=nm_mtr,43,5' 11",Actor|Writer|Producer,The Gift|The Great Gatsby|Loving,
216,Denzel Washington,https://pro.imdb.com/name/nm0000243/graph?ref_=nm_mtr,63,6' 1",Actor|Producer|Director,Fences|The Book of Eli|Training Day,D
217,Steve Martin,https://pro.imdb.com/name/nm0000188/graph?ref_=nm_mtr,72,6' 0",Writer|Actor|Soundtrack,Roxanne|L.A. Story|The Jerk,Pig Eye Jackson also
218,Matt Damon,https://pro.imdb.com/name/nm0000354/graph?ref_=nm_mtr,47,5' 10",Producer|Actor|Soundtrack,Good Will Hunting|The Martian|The Departed,Dickie Greenleaf
219,Sandra Bullock,https://pro.imdb.com/name/nm0000113/graph?ref_=nm_mtr,53,5' 7½",Producer|Actress|Soundtrack,Miss Congeniality|The Proposal|Gravity,Sandy|America's Sweetheart|The Girl Next Door
220,Toni Collette,https://pro.imdb.com/name/nm0001057/graph?ref_=nm_mtr,45,5' 8",Actress|Producer|Soundtrack,Little Miss Sunshine|About a Boy|The Sixth Sense,
221,Anna Hopkins,https://pro.imdb.com/name/nm1965525/graph?ref_=nm_mtr,,5' 6",Actress|Writer|Producer,Barney's Version|The Expanse|Jean of the Joneses,
222,Nicolas Cage,https://pro.imdb.com/name/nm0000115/graph?ref_=nm_mtr,54,6' 1¼",Actor|Producer|Soundtrack,Face/Off|Leaving Las Vegas|The Rock,Nicholas Cage|Nicolas Coppola|Nick
223,Maggie Grace,https://pro.imdb.com/name/nm1192254/graph?ref_=nm_mtr,,5' 9",Actress|Soundtrack|Producer,Taken|Lost|Fear the Walking Dead,
224,Alexis Bledel,https://pro.imdb.com/name/nm0088127/graph?ref_=nm_mtr,36,5' 7",Actress|Soundtrack|Producer,Gilmore Girls|The Sisterhood of the Traveling Pants|Sin City,
225,Sylvester Stallone,https://pro.imdb.com/name/nm0000230/graph?ref_=nm_mtr,71,5' 9½",Actor|Writer|Producer,Rocky|Rocky IV|Creed,Q Moonblood|Sly|Michael
226,Janina Gavankar,https://pro.imdb.com/name/nm1232470/graph?ref_=nm_mtr,,5' 7",Actress|Soundtrack|Music Department,True Blood|The League|Star Wars: Battlefront II,Janina Gavanka
227,Jonathan Tucker,https://pro.imdb.com/name/nm0006958/graph?ref_=nm_mtr,36,5' 10",Actor|Soundtrack,The Virgin Suicides|The Ruins|Sleepers,Tuck|Moss
228,Eden Sher,https://pro.imdb.com/name/nm1311329/graph?ref_=nm_mtr,26,5' 2",Actress|Producer|Soundtrack,The Middle|Star vs. the Forces of Evil|Weeds,
229,Linda Hunt,https://pro.imdb.com/name/nm0001373/graph?ref_=nm_mtr,73,4' 9",Actress|Soundtrack,The Year of Living Dangerously|Pocahontas|Silverado,
230,Aubrey Plaza,https://pro.imdb.com/name/nm2201555/graph?ref_=nm_mtr,33,5' 6",Actress|Soundtrack|Producer,Safety Not Guaranteed|Dirty Grandpa|The To Do List,
231,Timothy Granaderos,https://pro.imdb.com/name/nm4026778/graph?ref_=nm_mtr,,,Actor|Miscellaneous Crew,13 Reasons Why|T@gged,Tim Granaderos
232,Amy Adams,https://pro.imdb.com/name/nm0010736/graph?ref_=nm_mtr,43,5' 4",Actress|Soundtrack|Producer,Arrival|Enchanted|American Hustle,Amy Lou Adams
233,Courtney Henggeler,https://pro.imdb.com/name/nm1136435/graph?ref_=nm_mtr,36,5' 9",Actress,The Big Bang Theory|Mom|Cobra Kai,
234,Evan Peters,https://pro.imdb.com/name/nm1404239/graph?ref_=nm_mtr,31,5' 11",Actor|Soundtrack,X-Men: Apocalypse|X-Men: Days of Future Past|Kick-Ass,
235,Anna Faris,https://pro.imdb.com/name/nm0267506/graph?ref_=nm_mtr,41,5' 4",Actress|Soundtrack|Producer,The House Bunny|Just Friends|Scary Movie 4,Anna Faris-Indra|Anna Faris-Pratt|Baltimore's-Best-Beautiful-Blonde
236,Mädchen Amick,https://pro.imdb.com/name/nm0000749/graph?ref_=nm_mtr,,5' 6",Actress|Producer|Director,Dream Lover|Twin Peaks|Twin Peaks: Fire Walk with Me,Madchen Amick
237,Dylan Sprouse,https://pro.imdb.com/name/nm0819851/graph?ref_=nm_mtr,,5' 11",Actor|Soundtrack|Producer,Big Daddy|The Suite Life of Zack and Cody|The Suite Life on Deck,The Sprouse Twins|Dylan Thomas Sprouse
238,Debby Ryan,https://pro.imdb.com/name/nm2913275/graph?ref_=nm_mtr,25,5' 5",Actress|Soundtrack|Music Department,Insatiable|Sing It!|Jessie,Debbie Ryan|Debs
239,Martin Freeman,https://pro.imdb.com/name/nm0293509/graph?ref_=nm_mtr,46,5' 6½",Actor|Producer|Soundtrack,The Hobbit: An Unexpected Journey|The Hobbit: The Desolation of Smaug|The Hobbit: The Battle of the Five Armies,
240,Ewan McGregor,https://pro.imdb.com/name/nm0000191/graph?ref_=nm_mtr,47,5' 9¾",Actor|Writer|Soundtrack,Moulin Rouge!|Trainspotting|August: Osage County,
241,Linda Cardellini,https://pro.imdb.com/name/nm0004802/graph?ref_=nm_mtr,42,5' 3",Actress|Soundtrack,Brokeback Mountain|Avengers: Age of Ultron|Legally Blonde,Linda Edna Cardellini
242,James McAvoy,https://pro.imdb.com/name/nm0564215/graph?ref_=nm_mtr,39,5' 7",Actor|Soundtrack|Producer,Filth|Split|Atonement,Jamesy Boy|Jimmy|Floyd
243,Cara Delevingne,https://pro.imdb.com/name/nm5353321/graph?ref_=nm_mtr,25,5' 8",Actress|Soundtrack,Suicide Squad|Paper Towns|Valerian and the City of a Thousand Planets,
244,Danai Gurira,https://pro.imdb.com/name/nm1775091/graph?ref_=nm_mtr,40,5' 7",Actress,Avengers: Infinity War|Black Panther|The Visitor,
245,Jennifer Garner,https://pro.imdb.com/name/nm0004950/graph?ref_=nm_mtr,46,5' 8",Actress|Producer|Soundtrack,Alias|13 Going on 30|Daredevil,Jennifer Affleck|Jennifer
246,Martin Short,https://pro.imdb.com/name/nm0001737/graph?ref_=nm_mtr,68,5' 8",Actor|Writer|Producer,Inherent Vice|The Santa Clause 3: The Escape Clause|¡Three Amigos!,Jiminy Glick|Marty|Shorty
247,Gerard Butler,https://pro.imdb.com/name/nm0124930/graph?ref_=nm_mtr,48,6' 2",Actor|Producer|Soundtrack,The Phantom of the Opera|300|Law Abiding Citizen,Gerald Butler|Gerry Butler|Gerry
248,Ruby Rose,https://pro.imdb.com/name/nm3199307/graph?ref_=nm_mtr,,5' 7",Actress|Writer|Producer,Orange Is the New Black|Break Free|xXx: Return of Xander Cage,
249,James Marsden,https://pro.imdb.com/name/nm0005188/graph?ref_=nm_mtr,44,5' 10",Actor|Soundtrack,X-Men|Hairspray|Enchanted,Jimmy Marsden|Bello Jimmy|J. P.
250,Laura Dern,https://pro.imdb.com/name/nm0000368/graph?ref_=nm_mtr,51,5' 10½",Actress|Producer|Writer,Jurassic Park|Wild|Blue Velvet,
251,Anya Taylor-Joy,https://pro.imdb.com/name/nm5896355/graph?ref_=nm_mtr,22,5' 8",Actress,The Witch|Morgan|Split,
252,Gemma Arterton,https://pro.imdb.com/name/nm2605345/graph?ref_=nm_mtr,32,5' 7",Actress|Soundtrack|Producer,Prince of Persia: The Sands of Time|Quantum of Solace|Clash of the Titans,
253,Marisa Tomei,https://pro.imdb.com/name/nm0000673/graph?ref_=nm_mtr,53,5' 4¾",Actress|Producer,My Cousin Vinny|The Wrestler|In the Bedroom,
254,Bojana Novakovic,https://pro.imdb.com/name/nm0636942/graph?ref_=nm_mtr,36,5' 3½",Actress|Director|Writer,Devil|Edge of Darkness|Drag Me to Hell,Bonjana Novakovic|Boyana Novakovich
255,Nina Dobrev,https://pro.imdb.com/name/nm2400045/graph?ref_=nm_mtr,,5' 6¾",Actress|Soundtrack,The Perks of Being a Wallflower|xXx: Return of Xander Cage|The Final Girls,Nina Constantinova Dobreva|Almond|Neens
256,Kaya Scodelario,https://pro.imdb.com/name/nm2546012/graph?ref_=nm_mtr,26,5' 6",Actress,Pirates of the Caribbean: Dead Men Tell No Tales|The Maze Runner|The Truth About Emanuel,
257,Saoirse Ronan,https://pro.imdb.com/name/nm1519680/graph?ref_=nm_mtr,24,5' 6",Actress|Soundtrack,Hanna|Brooklyn|Atonement,Sersh
258,Camila Mendes,https://pro.imdb.com/name/nm6161516/graph?ref_=nm_mtr,,5' 2",Actress|Soundtrack,Riverdale|The New Romantic|Falcon Lake,Cami
259,Emma Stone,https://pro.imdb.com/name/nm1297015/graph?ref_=nm_mtr,29,5' 6",Actress|Soundtrack|Producer,La La Land|Easy A|The Help,Emily Jean Stone|Emily Stone|Riley Stone
260,Portia de Rossi,https://pro.imdb.com/name/nm0005577/graph?ref_=nm_mtr,45,5' 8",Actress|Soundtrack,Arrested Development|Cursed|Scream 2,Portia De Rossi|Portia Lee James DeGeneres|Portia Di Rossi
261,Eva Green,https://pro.imdb.com/name/nm1200692/graph?ref_=nm_mtr,37,5' 7",Actress,Casino Royale|Penny Dreadful|Kingdom of Heaven,
262,Melissa Benoist,https://pro.imdb.com/name/nm2552034/graph?ref_=nm_mtr,29,5' 8",Actress|Soundtrack|Music Department,Supergirl|Whiplash|Patriots Day,
263,Camren Bicondova,https://pro.imdb.com/name/nm4800564/graph?ref_=nm_mtr,19,5' 2",Actress,Gotham|Girl House|Gotham Stories,
264,Laurie Metcalf,https://pro.imdb.com/name/nm0582418/graph?ref_=nm_mtr,62,5' 6½",Actress|Soundtrack|Miscellaneous Crew,Lady Bird|Scream 2|Roseanne,
265,Prince Harry,https://pro.imdb.com/name/nm1056412/graph?ref_=nm_mtr,33,6' 1¼",Miscellaneous Crew,Trooping the Colour|TCN Channel 9 News|BBC Six O'Clock News,HRH Prince Harry|HRH Prince Henry of Wales|HRH Prince Harry Windsor
266,Britt Robertson,https://pro.imdb.com/name/nm1429380/graph?ref_=nm_mtr,28,5' 3",Actress|Soundtrack,Tomorrowland|The First Time|Ask Me Anything,Brittany Robertson|Brit Robertson|Bee
267,Taika Waititi,https://pro.imdb.com/name/nm0169806/graph?ref_=nm_mtr,42,6' 0½",Actor|Director|Producer,What We Do in the Shadows|Hunt for the Wilderpeople|Thor: Ragnarok,T. Cohen|Taika Cohen|Count Viago
268,Michael Fishman,https://pro.imdb.com/name/nm0279896/graph?ref_=nm_mtr,,5' 11",Actor|Producer|Miscellaneous Crew,Roseanne|A.I. Artificial Intelligence|Seinfeld,
269,Melissa Fumero,https://pro.imdb.com/name/nm0303073/graph?ref_=nm_mtr,35,5' 6",Actress|Soundtrack,I Hope They Serve Beer in Hell|Brooklyn Nine-Nine|One Life to Live,Michelle Gallo Fumero|Melissa Gallo
270,Felicity Jones,https://pro.imdb.com/name/nm0428065/graph?ref_=nm_mtr,34,5' 3",Actress|Producer,Rogue One: A Star Wars Story|The Theory of Everything|Like Crazy,Ms. Felicity Jones
271,Marilyn Monroe,https://pro.imdb.com/name/nm0000054/graph?ref_=nm_mtr,,5' 5½",Soundtrack|Actress|Writer,Some Like It Hot|The Seven Year Itch|Gentlemen Prefer Blondes,Norma Jean Baker|Norma Jeane Dougherty|Merilin Monro
272,Shannon Woodward,https://pro.imdb.com/name/nm0940990/graph?ref_=nm_mtr,,5' 3",Actress|Soundtrack|Producer,Westworld|Raising Hope|The Riches,Shannon Marie Woodward
273,Jodie Foster,https://pro.imdb.com/name/nm0000149/graph?ref_=nm_mtr,55,5' 3",Actress|Director|Producer,The Silence of the Lambs|Contact|The Accused,Jodi Foster|Jody Foster|Jodie F
274,T.J. Miller,https://pro.imdb.com/name/nm2554352/graph?ref_=nm_mtr,37,6' 2",Actor|Writer|Producer,Silicon Valley|Cloverfield|Big Hero 6,TJ Miller
275,Ted Levine,https://pro.imdb.com/name/nm0505971/graph?ref_=nm_mtr,61,5' 11",Actor|Soundtrack,The Silence of the Lambs|Shutter Island|Wild Wild West,
276,Sam Heughan,https://pro.imdb.com/name/nm1537825/graph?ref_=nm_mtr,38,6' 2½",Actor,Outlander|A Princess for Christmas|Island at War,
277,Bella Heathcote,https://pro.imdb.com/name/nm2757333/graph?ref_=nm_mtr,31,5' 6",Actress,The Neon Demon|In Time|Pride and Prejudice and Zombies,Isabella Heathcote
278,Sam Humphrey,https://pro.imdb.com/name/nm7976885/graph?ref_=nm_mtr,,4' 2",Actor,The Greatest Showman|Jeremy the Dud|Neighbours,
279,Megan Fox,https://pro.imdb.com/name/nm1083271/graph?ref_=nm_mtr,32,5' 4",Actress|Producer|Writer,Transformers|Teenage Mutant Ninja Turtles|Jennifer's Body,Megan Denise Fox|Mega Fox|Foxy Megan
280,Luke Evans,https://pro.imdb.com/name/nm1812656/graph?ref_=nm_mtr,39,6' 0",Actor|Soundtrack,Dracula Untold|Beauty and the Beast|Fast &amp; Furious 6,
281,Dakota Johnson,https://pro.imdb.com/name/nm0424848/graph?ref_=nm_mtr,28,5' 7½",Actress|Soundtrack|Producer,Fifty Shades of Grey|The Social Network|Fifty Shades Darker,
282,Laverne Cox,https://pro.imdb.com/name/nm1209545/graph?ref_=nm_mtr,,5' 11",Actress|Producer|Writer,Orange Is the New Black|Musical Chairs|Grandma,
283,Steven Spielberg,https://pro.imdb.com/name/nm0000229/graph?ref_=nm_mtr,71,5' 7½",Producer|Writer|Director,Schindler's List|E.T. the Extra-Terrestrial|Saving Private Ryan,Stephen Spielberg|Steve Spielberg|Spielberg
284,Mae Whitman,https://pro.imdb.com/name/nm0926165/graph?ref_=nm_mtr,29,5' 2",Actress|Soundtrack|Art Department,The Perks of Being a Wallflower|The DUFF|One Fine Day,Mae Margaret Whitman
285,Will Smith,https://pro.imdb.com/name/nm0000226/graph?ref_=nm_mtr,49,6' 2",Music Department|Actor|Producer,The Fresh Prince of Bel-Air|I Am Legend|Men in Black,The Fresh Prince|DJ Jazzy Jeff and The Fresh Prince|Fresh Prince
286,Jeff Goldblum,https://pro.imdb.com/name/nm0000156/graph?ref_=nm_mtr,65,6' 4½",Actor|Soundtrack|Producer,The Grand Budapest Hotel|Jurassic Park|The Fly,Jeff Goldberg
