rank;name;age;height;Actor;Actress;Director;Producer;Writer;titles;aliases
221;Anna Hopkins;;66.0;0;1;0;1;1;Barney's Version|The Expanse|Jean of the Joneses;
222;Nicolas Cage;54.0;73.25;1;0;0;1;0;Face/Off|Leaving Las Vegas|The Rock;Nicholas Cage|Nicolas Coppola|Nick
223;Maggie Grace;;69.0;0;1;0;1;0;Taken|Lost|Fear the Walking Dead;
224;Alexis Bledel;36.0;67.0;0;1;0;1;0;Gilmore Girls|The Sisterhood of the Traveling Pants|Sin City;
225;Sylvester Stallone;71.0;69.5;1;0;0;1;1;Rocky|Rocky IV|Creed;Q Moonblood|Sly|Michael
226;Janina Gavankar;;67.0;0;1;0;0;0;True Blood|The League|Star Wars: Battlefront II;Janina Gavanka
227;Jonathan Tucker;36.0;70.0;1;0;0;0;0;The Virgin Suicides|The Ruins|Sleepers;Tuck|Moss
228;Eden Sher;26.0;62.0;0;1;0;1;0;The Middle|Star vs. the Forces of Evil|Weeds;
229;Linda Hunt;73.0;57.0;0;1;0;0;0;The Year of Living Dangerously|Pocahontas|Silverado;
230;Aubrey Plaza;33.0;66.0;0;1;0;1;0;Safety Not Guaranteed|Dirty Grandpa|The To Do List;
231;Timothy Granaderos;;;1;0;0;0;0;13 Reasons Why|T@gged;Tim Granaderos
232;Amy Adams;43.0;64.0;0;1;0;1;0;Arrival|Enchanted|American Hustle;Amy Lou Adams
233;Courtney Henggeler;36.0;69.0;0;1;0;0;0;The Big Bang Theory|Mom|Cobra Kai;
234;Evan Peters;31.0;71.0;1;0;0;0;0;X-Men: Apocalypse|X-Men: Days of Future Past|Kick-Ass;
235;Anna Faris;41.0;64.0;0;1;0;1;0;The House Bunny|Just Friends|Scary Movie 4;Anna Faris-Indra|Anna Faris-Pratt|Baltimore's-Best-Beautiful-Blonde
236;Mädchen Amick;;66.0;0;1;1;1;0;Dream Lover|Twin Peaks|Twin Peaks: Fire Walk with Me;Madchen Amick
237;Dylan Sprouse;;71.0;1;0;0;1;0;Big Daddy|The Suite Life of Zack and Cody|The Suite Life on Deck;The Sprouse Twins|Dylan Thomas Sprouse
238;Debby Ryan;25.0;65.0;0;1;0;0;0;Insatiable|Sing It!|Jessie;Debbie Ryan|Debs
239;Martin Freeman;46.0;66.5;1;0;0;1;0;The Hobbit: An Unexpected Journey|The Hobbit: The Desolation of Smaug|The Hobbit: The Battle of the Five Armies;
240;Ewan McGregor;47.0;69.75;1;0;0;0;1;Moulin Rouge!|Trainspotting|August: Osage County;
241;Linda Cardellini;42.0;63.0;0;1;0;0;0;Brokeback Mountain|Avengers: Age of Ultron|Legally Blonde;Linda Edna Cardellini
242;James McAvoy;39.0;67.0;1;0;0;1;0;Filth|Split|Atonement;Jamesy Boy|Jimmy|Floyd
243;Cara Delevingne;25.0;68.0;0;1;0;0;0;Suicide Squad|Paper Towns|Valerian and the City of a Thousand Planets;
244;Danai Gurira;40.0;67.0;0;1;0;0;0;Avengers: Infinity War|Black Panther|The Visitor;
245;Jennifer Garner;46.0;68.0;0;1;0;1;0;Alias|13 Going on 30|Daredevil;Jennifer Affleck|Jennifer
246;Martin Short;68.0;68.0;1;0;0;1;1;Inherent Vice|The Santa Clause 3: The Escape Clause|¡Three Amigos!;Jiminy Glick|Marty|Shorty
247;Gerard Butler;48.0;74.0;1;0;0;1;0;The Phantom of the Opera|300|Law Abiding Citizen;Gerald Butler|Gerry Butler|Gerry
248;Ruby Rose;;67.0;0;1;0;1;1;Orange Is the New Black|Break Free|xXx: Return of Xander Cage;
249;James Marsden;44.0;70.0;1;0;0;0;0;X-Men|Hairspray|Enchanted;Jimmy Marsden|Bello Jimmy|J. P.
250;Laura Dern;51.0;70.5;0;1;0;1;1;Jurassic Park|Wild|Blue Velvet;
251;Anya Taylor-Joy;22.0;68.0;0;1;0;0;0;The Witch|Morgan|Split;
252;Gemma Arterton;32.0;67.0;0;1;0;1;0;Prince of Persia: The Sands of Time|Quantum of Solace|Clash of the Titans;
253;Marisa Tomei;53.0;64.75;0;1;0;1;0;My Cousin Vinny|The Wrestler|In the Bedroom;
254;Bojana Novakovic;36.0;63.5;0;1;1;0;1;Devil|Edge of Darkness|Drag Me to Hell;Bonjana Novakovic|Boyana Novakovich
255;Nina Dobrev;;66.75;0;1;0;0;0;The Perks of Being a Wallflower|xXx: Return of Xander Cage|The Final Girls;Nina Constantinova Dobreva|Almond|Neens
256;Kaya Scodelario;26.0;66.0;0;1;0;0;0;Pirates of the Caribbean: Dead Men Tell No Tales|The Maze Runner|The Truth About Emanuel;
257;Saoirse Ronan;24.0;66.0;0;1;0;0;0;Hanna|Brooklyn|Atonement;Sersh
258;Camila Mendes;;62.0;0;1;0;0;0;Riverdale|The New Romantic|Falcon Lake;Cami
259;Emma Stone;29.0;66.0;0;1;0;1;0;La La Land|Easy A|The Help;Emily Jean Stone|Emily Stone|Riley Stone
260;Portia de Rossi;45.0;68.0;0;1;0;0;0;Arrested Development|Cursed|Scream 2;Portia De Rossi|Portia Lee James DeGeneres|Portia Di Rossi
261;Eva Green;37.0;67.0;0;1;0;0;0;Casino Royale|Penny Dreadful|Kingdom of Heaven;
262;Melissa Benoist;29.0;68.0;0;1;0;0;0;Supergirl|Whiplash|Patriots Day;
263;Camren Bicondova;19.0;62.0;0;1;0;0;0;Gotham|Girl House|Gotham Stories;
264;Laurie Metcalf;62.0;66.5;0;1;0;0;0;Lady Bird|Scream 2|Roseanne;
265;Prince Harry;33.0;73.25;0;0;0;0;0;Trooping the Colour|TCN Channel 9 News|BBC Six O'Clock News;HRH Prince Harry|HRH Prince Henry of Wales|HRH Prince Harry Windsor
266;Britt Robertson;28.0;63.0;0;1;0;0;0;Tomorrowland|The First Time|Ask Me Anything;Brittany Robertson|Brit Robertson|Bee
267;Taika Waititi;42.0;72.5;1;0;1;1;0;What We Do in the Shadows|Hunt for the Wilderpeople|Thor: Ragnarok;T. Cohen|Taika Cohen|Count Viago
268;Michael Fishman;;71.0;1;0;0;1;0;Roseanne|A.I. Artificial Intelligence|Seinfeld;
269;Melissa Fumero;35.0;66.0;0;1;0;0;0;I Hope They Serve Beer in Hell|Brooklyn Nine-Nine|One Life to Live;Michelle Gallo Fumero|Melissa Gallo
270;Felicity Jones;34.0;63.0;0;1;0;1;0;Rogue One: A Star Wars Story|The Theory of Everything|Like Crazy;Ms. Felicity Jones
271;Marilyn Monroe;;65.5;0;1;0;0;1;Some Like It Hot|The Seven Year Itch|Gentlemen Prefer Blondes;Norma Jean Baker|Norma Jeane Dougherty|Merilin Monro
272;Shannon Woodward;;63.0;0;1;0;1;0;Westworld|Raising Hope|The Riches;Shannon Marie Woodward
273;Jodie Foster;55.0;63.0;0;1;1;1;0;The Silence of the Lambs|Contact|The Accused;Jodi Foster|Jody Foster|Jodie F
274;T.J. Miller;37.0;74.0;1;0;0;1;1;Silicon Valley|Cloverfield|Big Hero 6;TJ Miller
275;Ted Levine;61.0;71.0;1;0;0;0;0;The Silence of the Lambs|Shutter Island|Wild Wild West;
276;Sam Heughan;38.0;74.5;1;0;0;0;0;Outlander|A Princess for Christmas|Island at War;
277;Bella Heathcote;31.0;66.0;0;1;0;0;0;The Neon Demon|In Time|Pride and Prejudice and Zombies;Isabella Heathcote
278;Sam Humphrey;;50.0;1;0;0;0;0;The Greatest Showman|Jeremy the Dud|Neighbours;
279;Megan Fox;32.0;64.0;0;1;0;1;1;Transformers|Teenage Mutant Ninja Turtles|Jennifer's Body;Megan Denise Fox|Mega Fox|Foxy Megan
280;Luke Evans;39.0;72.0;1;0;0;0;0;Dracula Untold|Beauty and the Beast|Fast & Furious 6;
281;Dakota Johnson;28.0;67.5;0;1;0;1;0;Fifty Shades of Grey|The Social Network|Fifty Shades Darker;
282;Laverne Cox;;71.0;0;1;0;1;1;Orange Is the New Black|Musical Chairs|Grandma;
283;Steven Spielberg;71.0;67.5;0;0;1;1;1;Schindler's List|E.T. the Extra-Terrestrial|Saving Private Ryan;Stephen Spielberg|Steve Spielberg|Spielberg
284;Mae Whitman;29.0;62.0;0;1;0;0;0;The Perks of Being a Wallflower|The DUFF|One Fine Day;Mae Margaret Whitman
285;Will Smith;49.0;74.0;1;0;0;1;0;The Fresh Prince of Bel-Air|I Am Legend|Men in Black;The Fresh Prince|DJ Jazzy Jeff and The Fresh Prince|Fresh Prince
286;Jeff Goldblum;65.0;76.5;1;0;0;1;0;The Grand Budapest Hotel|Jurassic Park|The Fly;Jeff Goldberg
287;Kristen Wiig;44.0;65.0;0;1;0;1;0;Bridesmaids|The Skeleton Twins|The Secret Life of Walter Mitty;
288;Idris Elba;45.0;75.0;1;0;0;1;1;Beasts of No Nation|Star Trek: Beyond|Thor: Ragnarok;DJ Big Driis
289;Adrianne Palicki;35.0;71.0;0;1;0;0;0;G.I. Joe: Retaliation|John Wick|Legion;Annie Palicki|Annie
290;Molly Ringwald;50.0;68.0;0;1;0;0;0;Sixteen Candles|The Breakfast Club|Pretty in Pink;
291;Jim Carrey;56.0;74.25;1;0;0;1;1;Ace Ventura: Pet Detective|The Truman Show|Eternal Sunshine of the Spotless Mind;James Carrey|Tony Clifton
292;Holliday Grainger;30.0;61.0;0;1;0;0;0;Cinderella|My Cousin Rachel|The Finest Hours;Holly Grainger|Holliday Granger|Holly Granger
293;Alexander Skarsgård;41.0;76.5;1;0;1;1;0;True Blood|Straw Dogs|Melancholia;Alexander Skarsgard|Alex
294;Laura Haddock;32.0;68.0;0;1;0;0;0;Guardians of the Galaxy|Transformers: The Last Knight|Guardians of the Galaxy Vol. 2;
295;John Goodman;65.0;74.0;1;0;0;1;0;10 Cloverfield Lane|Argo|Barton Fink;Karl Mundt
296;Jamie Dornan;36.0;71.0;1;0;0;0;0;Fifty Shades of Grey|The Fall|Anthropoid;Sons of Jim|Jamie
297;Ajiona Alexus;;66.0;0;1;0;0;0;13 Reasons Why|Acrimony|Breaking In;Ajiona Brown
298;Domhnall Gleeson;35.0;73.0;1;0;0;0;1;Ex Machina|Frank|About Time;Donal Gleeson
299;Billy Magnussen;33.0;71.0;1;0;0;0;0;Into the Woods|The Big Short|Game Night;William 'Billy' Magnussen
300;Ella Purnell;21.0;64.0;0;1;0;0;0;Miss Peregrine's Home for Peculiar Children|Never Let Me Go|Kick-Ass 2;Elena Purnell
301;Mark Wahlberg;46.0;68.0;1;0;0;1;0;The Departed|The Fighter|Boogie Nights;Marky Mark|Marky Mark|Monk D
302;Molly Parker;45.0;65.0;0;1;0;1;0;Kissed|Deadwood|The Wicker Man;
303;Musetta Vander;;68.0;0;1;0;0;0;Mortal Kombat: Annihilation|O Brother, Where Art Thou?|Wild Wild West;Musetta|Musetta van der Merwe
304;Chris Pine;37.0;72.0;1;0;0;1;0;Star Trek|Star Trek: Beyond|Wonder Woman;Kris Pino|Peenè|Pinewood
305;Sydney Sweeney;;63.5;0;1;0;0;0;Everything Sucks!|The Handmaid's Tale|Sharp Objects;
306;Adam Sandler;51.0;69.75;1;0;0;1;1;The Waterboy|The Wedding Singer|Big Daddy;Sandman
307;Justine Lupe;;;0;1;0;0;0;Mr. Mercedes|Snowfall|Madam Secretary;
308;Keira Knightley;33.0;67.0;0;1;0;1;0;Pirates of the Caribbean: The Curse of the Black Pearl|Pride & Prejudice|Atonement;Kiera Knightley
309;Ryan Gosling;37.0;72.5;1;0;0;1;0;Blue Valentine|La La Land|The Nice Guys;
310;Diane Kruger;41.0;67.0;0;1;0;1;0;Inglourious Basterds|National Treasure|Unknown;Diane Heidkrüger|Diane Krüger
311;Ilfenesh Hadera;;71.0;0;1;0;0;0;Baywatch|Old Boy|Billions;
312;Hannah Arterton;;64.0;0;1;0;0;0;Safe|The Five|Walking on Sunshine;
313;Sarah Chalke;41.0;68.0;0;1;0;1;0;Scrubs|Chaos Theory|Roseanne;Sarah Chalk|Chalky
314;Rinko Kikuchi;37.0;67.0;0;1;1;0;1;Babel|Pacific Rim|The Brothers Bloom;Yuriko Kikuchi
315;Lupita Nyong'o;35.0;65.0;0;1;0;1;0;12 Years a Slave|Star Wars: Episode VII - The Force Awakens|Black Panther;Lupita Nyongo
316;Judy Greer;42.0;68.25;0;1;0;1;0;13 Going on 30|Ant-Man|Jurassic World;Judy Evans Greer|Greer
317;Clint Howard;59.0;67.0;1;0;0;0;1;Apollo 13|The Waterboy|Rock 'n' Roll High School;
318;Taron Egerton;28.0;69.0;1;0;0;0;0;Kingsman: The Secret Service|Eddie the Eagle|Kingsman: The Golden Circle;
319;Adam Driver;34.0;74.5;1;0;0;0;0;Star Wars: Episode VII - The Force Awakens|Paterson|Inside Llewyn Davis;
320;Mackenzie Davis;;70.0;0;1;0;1;0;Halt and Catch Fire|Black Mirror|Blade Runner 2049;Mackenzie Rio Davis
321;Ed Skrein;35.0;73.0;1;0;1;0;1;Deadpool|Alita: Battle Angel|If Beale Street Could Talk;
322;Timothée Chalamet;22.0;71.5;1;0;0;0;0;Call Me by Your Name|Lady Bird|Interstellar;Timothee Chalamet|Timothy Chalamet|Lil Timmy Tim
323;Teresa Palmer;32.0;64.75;0;1;0;1;1;I Am Number Four|Lights Out|Warm Bodies;Tez|Tezza
324;Monica Keena;39.0;61.5;0;1;0;0;0;Freddy vs. Jason|While You Were Sleeping|Crime + Punishment in Suburbia;Monica Kenna|Monikers
325;Colin Farrell;42.0;70.0;1;0;0;1;0;The Lobster|In Bruges|S.W.A.T.;Colin Farrel|Colin J Farrell|Col Farrell
326;Michael Fassbender;41.0;72.25;1;0;0;1;0;Shame|Prometheus|X-Men: First Class;Fassy
327;Lee Pace;39.0;77.0;1;0;0;0;0;Guardians of the Galaxy|The Fall|The Good Shepherd;
328;Teri Polo;49.0;67.0;0;1;0;0;0;Meet the Parents|The Arrival|Meet the Fockers;
329;James Franco;40.0;71.0;1;0;1;1;0;127 Hours|Spring Breakers|The Disaster Artist;James Edward Franco|Ted|Teddy
330;Sophie Turner;22.0;69.0;0;1;0;1;0;Game of Thrones|X-Men: Apocalypse|X-Men: Dark Phoenix;
331;Jenny Mollen;;66.0;0;1;0;1;1;Kidnapping Caitlynn|My Best Friend's Girl|Crazy, Stupid, Love.;Jenny Mollen Biggs|Jenny Molen
332;Jim Cummings;65.0;68.0;1;0;0;0;0;Winnie the Pooh|The Princess and the Frog|Shrek;Jim Jonah Cumkings|Jim Cumming|J. Jonah Cummings
333;Samara Weaving;26.0;65.0;0;1;1;0;1;Three Billboards Outside Ebbing, Missouri|The Babysitter|Mayhem;
334;Keala Settle;;63.0;0;1;0;0;0;The Greatest Showman|Ricki and the Flash|Hall American: Forbidden;Ti K.|Lala
335;Lauren German;39.0;67.0;0;1;0;0;0;Hostel: Part II|The Divide|The Texas Chainsaw Massacre;
336;Ben Affleck;45.0;75.75;1;0;0;1;1;Argo|Gone Girl|The Town;Affleck
337;Jessica Parker Kennedy;;60.5;0;1;0;0;0;In Time|50/50|Another Cinderella Story;Jessica P. Kennedy|Jessica Kennedy Parker
338;Rose Byrne;38.0;66.25;0;1;0;1;0;Spy|Insidious|Bridesmaids;Rosie
339;Malin Akerman;40.0;68.0;0;1;0;1;0;Watchmen|The Final Girls|Happythankyoumoreplease;Malin|Malin Åkerman
340;Jenna Fischer;44.0;66.0;0;1;0;1;0;The Office|The Giant Mechanical Man|Walk Hard: The Dewey Cox Story;Jenna Fisher
341;Lena Headey;44.0;65.5;0;1;0;1;0;Game of Thrones|300|Pride and Prejudice and Zombies;Lena Heady
342;Elizabeth Banks;44.0;64.75;0;1;1;1;0;The Hunger Games|The Hunger Games: Mockingjay - Part 1|The Hunger Games: Catching Fire;Elizabeth Casey|Elizabeth Maresal Mitchell
343;Matthew McConaughey;48.0;72.0;1;0;0;1;0;Dallas Buyers Club|Magic Mike|Mud;M. McConaughey
344;Paul Rudd;49.0;70.0;1;0;0;1;1;Ant-Man|I Love You, Man|The Perks of Being a Wallflower;Kenny Chin|Paul S. Rudd|Paul Stephen Rudd
345;Kate Mara;35.0;62.0;0;1;0;1;0;Fantastic Four|Happythankyoumoreplease|Shooter;
346;Ingrid Bolsø Berdal;38.0;68.75;0;1;0;1;0;Hercules|Cold Prey|Chernobyl Diaries;
347;Sam Witwer;;73.0;1;0;0;0;0;The Mist|Star Wars: The Force Unleashed|Star Wars: The Clone Wars;Simon Judas Raye|Stewart
348;William Zabka;52.0;72.5;1;0;0;1;1;The Karate Kid|Hot Tub Time Machine|The Karate Kid Part II;Billy Zabka|Billy
349;Robert De Niro;74.0;69.75;1;0;0;1;0;Raging Bull|Cape Fear|Taxi Driver;Robert De Niro Jr.|Robâto De Nîro|Bobby DeNiro
350;Morgan Freeman;81.0;74.0;1;0;0;1;0;Se7en|Invictus|Driving Miss Daisy;Morgan J. Freeman
351;Ashley Johnson;;65.0;0;1;0;0;0;The Avengers|Blindspot|The Last of Us;Dasher
352;Ellen Barkin;64.0;66.0;0;1;0;1;0;The Fan|Sea of Love|This Boy's Life;
353;Shia LaBeouf;31.0;69.5;1;0;1;1;0;Transformers|American Honey|Fury;Shia La Beouf|Shea LaBeouf|Shia LaBuff
354;Stanley Kubrick;;66.5;0;0;1;1;1;2001: A Space Odyssey|A Clockwork Orange|Barry Lyndon;Stanley Kubric|SK
355;Michelle Trachtenberg;32.0;67.5;0;1;0;1;0;Buffy the Vampire Slayer|Inspector Gadget|17 Again;
356;Jon Hamm;47.0;74.0;1;0;0;1;0;Mad Men|The Town|Million Dollar Arm;John Hamm
357;Gina Carano;;68.0;0;1;0;1;0;Haywire|Fast & Furious 6|Deadpool;Crush|Conviction|Crush
358;Anthony Hopkins;80.0;68.5;1;0;0;0;0;The Silence of the Lambs|Hannibal|Hitchcock;Fabian Hogarth|Sir Anthony Hopkins|Tony
359;Emma Watson;28.0;65.0;0;1;0;1;0;The Perks of Being a Wallflower|Harry Potter and the Sorcerer's Stone|The Bling Ring;Em
360;Kate Beckinsale;44.0;67.0;0;1;0;0;0;Underworld: Evolution|Pearl Harbor|Underworld;Kathrin Beckinsale
361;Kylie Minogue;50.0;60.0;0;1;0;0;0;Moulin Rouge!|Street Fighter|San Andreas;Kylie|The Princess of Pop
362;Isabela Moner;;61.0;0;1;0;0;0;Transformers: The Last Knight|100 Things to Do Before High School|Growing Up Fisher;
363;Madelaine Petsch;;65.75;0;1;0;0;0;Riverdale;
364;Benicio Del Toro;51.0;74.0;1;0;1;1;0;Sicario|Traffic|The Usual Suspects;Benisio Del Toro|Benicio Deltoro|Benicio del Toro
365;Hiroyuki Sanada;57.0;66.0;1;0;0;0;0;The Twilight Samurai|The Wolverine|Sunshine;Duke Sanada|Harry Sanada|Henry Sanada
366;Mackenzie Foy;;62.5;0;1;0;0;0;Interstellar|The Twilight Saga: Breaking Dawn - Part 2|The Little Prince;Kenzie|Kenz
367;Arnold Schwarzenegger;70.0;74.0;1;0;1;1;0;Terminator 2|True Lies|Predator;Arnold Strong 'Mr. Universe'|Arnold|Gov Arnold Schwarzenegger
368;Bella Thorne;20.0;68.0;0;1;0;1;0;The DUFF|Blended|Scream: The TV Series;
369;Jewel Staite;;66.0;0;1;0;1;0;Firefly|Serenity|Blindspot;Jewel Straite
370;Rose McGowan;44.0;64.0;0;1;0;1;0;Planet Terror|Grindhouse|Charmed;Rose McGowen
371;Christopher Lee;;77.0;1;0;0;1;0;Star Wars: Episode II - Attack of the Clones|The Lord of the Rings: The Two Towers|The Lord of the Rings: The Fellowship of the Ring;Chris Lee|Cristopher Lee|Sir Christopher Lee
372;Lindsey Morgan;28.0;65.0;0;1;0;0;0;General Hospital|The 100|Beyond Skyline;Lindsey Marie Morgan
373;Jeffrey Dean Morgan;52.0;74.0;1;0;0;1;0;Watchmen|The Losers|Red Dawn;Jeff Morgan|Jeff|McNaughty
374;Ralph Macchio;56.0;68.5;1;0;1;1;0;The Karate Kid|The Karate Kid Part III|The Outsiders;
375;Jane Fonda;80.0;68.0;0;1;0;1;0;Klute|Barbarella|Youth;Hanoi Jane|J.Fo
376;Alicia Goranson;43.0;65.0;0;1;0;0;0;Boys Don't Cry|Roseanne|Fringe;Lecy Goranson|Lecy
377;Pam Grier;69.0;68.0;0;1;0;0;1;Jackie Brown|Escape from L.A.|Ghosts of Mars;Pam Greer|Pamela Grier
378;Alessandra Torresani;;63.5;0;1;0;1;0;The Big Bang Theory|American Horror Story|Caprica;Alessandra Toreson
379;Mark Hamill;66.0;69.0;1;0;0;1;0;Star Wars: Episode IV - A New Hope|Star Wars: Episode V - The Empire Strikes Back|Star Wars: Episode VI - Return of the Jedi;?|Mark Hamil|Mark
380;Tom Ellis;39.0;75.0;1;0;0;0;0;Lucifer|Miranda|Buffalo Soldiers;
381;Daniel Radcliffe;28.0;65.0;1;0;0;1;0;Harry Potter and the Deathly Hallows: Part 2|Swiss Army Man|Harry Potter and the Deathly Hallows: Part 1;Daniel Jacob Radcliffe|Dan Radcliffe|Daniel Ratfink
382;Olivia Wilde;34.0;67.0;0;1;1;1;0;TRON: Legacy|The Incredible Burt Wonderstone|The Lazarus Effect;
383;Rachel Weisz;48.0;66.0;0;1;0;1;0;The Constant Gardener|The Lobster|The Mummy Returns;Kenya Campbell|Rachael Weisz
384;Steve Carell;55.0;69.0;1;0;0;1;1;The Office|The 40-Year-Old Virgin|Foxcatcher;Steven Carel|Steve Carel|Steven Carell
385;Brendan Fraser;49.0;75.0;1;0;0;1;0;The Mummy|Crash|The Mummy Returns;Brendon Fraser
386;Allison Mack;35.0;65.0;0;1;1;1;0;Smallville|The Ant Bully|Honey, We Shrunk Ourselves!;
387;Jeremy Renner;47.0;69.0;1;0;0;1;0;The Hurt Locker|The Town|The Avengers;Renni
388;Cara Gee;;;0;1;0;0;0;Empire of Dirt|The Expanse|The Carmilla Movie;
389;Toby Stephens;49.0;71.0;1;0;1;0;0;Die Another Day|The Machine|13 Hours;
390;Jake Johnson;40.0;69.5;1;0;0;1;1;New Girl|Jurassic World|Safety Not Guaranteed;Jake M. Johnson
391;Emily Bett Rickards;;65.0;0;1;0;0;0;Arrow|Brooklyn|The Flash;Emily Rickards
392;Michelle Monaghan;42.0;67.0;0;1;0;1;0;Pixels|Kiss Kiss Bang Bang|Gone Baby Gone;
393;Andy Samberg;39.0;69.5;1;0;0;1;0;Saturday Night Live|Popstar: Never Stop Never Stopping|That's My Boy;Ardy|The Dudes|The Lonely Island
394;Nicole Kidman;50.0;71.0;0;1;0;1;0;Moulin Rouge!|The Others|The Hours;Nic
395;Jason Statham;50.0;70.0;1;0;0;1;0;Crank|Furious 7|Spy;Jay|The Stath
396;Joseph Mazzello;34.0;69.0;1;0;1;0;1;Jurassic Park|The Social Network|The Cure;Joe Mazello|Joe Mazzello|Joe
397;Elodie Yung;;67.0;0;1;0;0;0;The Girl with the Dragon Tattoo|Daredevil|The Hitman's Bodyguard;Élodie Yung
398;Scout Taylor-Compton;29.0;63.0;0;1;0;0;0;Halloween|Halloween II|The Runaways;Scout Taylor Compton|Pouty Scouty
399;Camila Morrone;20.0;;0;1;0;0;0;Death Wish|Bukowski|Never Goin' Back;
400;Michael Shannon;43.0;75.5;1;0;0;1;0;Midnight Special|The Shape of Water|Take Shelter;Mike Shannon|Mike
401;Pablo Schreiber;40.0;77.0;1;0;0;1;0;13 Hours|Orange Is the New Black|Den of Thieves;Pablo T. Schreiber
402;Krysten Ritter;;69.0;0;1;0;1;1;Jessica Jones|Big Eyes|Don't Trust the B---- in Apartment 23;
403;Vanessa Bayer;36.0;66.0;0;1;0;0;1;Trainwreck|Saturday Night Live|Office Christmas Party;
404;Brandon Larracuente;23.0;72.0;1;0;0;0;0;13 Reasons Why|Bloodline|Bright;
405;Gemma Chan;;68.0;0;1;0;0;0;Humans|Captain Marvel|Mary Queen of Scots;
406;Rose McIver;29.0;64.0;0;1;0;1;0;The Lovely Bones|iZombie|Petals on the Wind;Rose Mciver
407;Ethan Hawke;47.0;71.0;1;0;1;0;1;Training Day|Before Sunrise|Before Midnight;E. Hawke
408;Anna Kendrick;32.0;62.0;0;1;0;0;0;Up in the Air|Pitch Perfect|Pitch Perfect 2;
409;Jacob Tremblay;11.0;56.0;1;0;0;0;0;Room|Wonder|Before I Wake;Jake
410;Michael Cera;29.0;68.5;1;0;0;1;0;Superbad|Scott Pilgrim vs. the World|Juno;Michael Céra|Mike
411;Shantel VanSanten;;68.25;0;1;0;0;0;Shooter|One Tree Hill|The Flash;Shantel Van Santen|Shantel Vansanten
412;Mina Sundwall;;66.0;0;1;0;0;0;Lost in Space|Maggie's Plan|#Horror;Mina De Julis
413;Renée Zellweger;49.0;63.0;0;1;0;1;0;Chicago|Cold Mountain|Jerry Maguire;Rene Zellverger|Renee Zellweger|Renee Zellwegger
414;Rachel Brosnahan;27.0;63.5;0;1;0;1;0;House of Cards|The Marvelous Mrs. Maisel|Patriots Day;
415;Mary Steenburgen;65.0;68.0;0;1;0;1;0;Last Vegas|Step Brothers|Back to the Future Part III;Mary and Ted
416;Liam Neeson;65.0;76.0;1;0;0;1;0;Kinsey|Schindler's List|The Grey;
417;Katee Sackhoff;38.0;66.0;0;1;0;1;1;Battlestar Galactica|Riddick|Oculus;Katee Sachoff
418;Abbie Cornish;35.0;68.0;0;1;0;0;0;Three Billboards Outside Ebbing, Missouri|Candy|Seven Psychopaths;Dusk|MC Dusk
419;Vera Farmiga;44.0;67.0;0;1;0;1;0;Up in the Air|The Departed|Orphan;
420;Keir Dullea;82.0;73.0;1;0;0;0;0;2001: A Space Odyssey|David and Lisa|2010;
421;Ed Harris;67.0;69.0;1;0;1;1;0;The Truman Show|Appaloosa|Apollo 13;The Voice
422;Rose Leslie;31.0;66.0;0;1;0;0;0;The Last Witch Hunter|Honeymoon|Game of Thrones;
423;Archie Panjabi;;63.0;0;1;0;1;0;I Origins|San Andreas|A Good Year;Archie Panabi
424;Andy Garcia;62.0;70.25;1;0;0;1;0;Ocean's Eleven|The Godfather: Part III|The Lost City;Andy Arthur|Andres Garcia
425;Emily Browning;29.0;62.0;0;1;0;0;0;A Series of Unfortunate Events|Sucker Punch|Pompeii;Emily Jane Browning|Em
426;Martha Higareda;;63.0;0;1;0;1;1;Altered Carbon|No Manches Frida|McFarland, USA;
427;Juno Temple;28.0;62.0;0;1;0;0;0;Atonement|Mr. Nobody|Maleficent;
428;Noomi Rapace;38.0;64.25;0;1;0;1;0;The Girl with the Dragon Tattoo|Prometheus|Sherlock Holmes: A Game of Shadows;Noomi Noren|Noomi Norén
429;Salma Hayek;51.0;62.0;0;1;0;1;0;Frida|Desperado|Wild Wild West;Salma Hayek-Pinault|Hayek|Salma Hayek Pinault
430;Reese Witherspoon;42.0;61.5;0;1;0;1;0;Wild|Legally Blonde|Election;Reese|Riz Uizerspun
431;Marie Avgeropoulos;31.0;65.0;0;1;0;0;0;Tracers|Hunt to Kill|50/50;
432;Christina Ochoa;;70.0;0;1;0;1;1;Animal Kingdom|Blood Drive|A Million Little Things;Christina Ochoa Lopez|Christina Ochoa-Lopez
433;Daniel Craig;50.0;70.0;1;0;0;1;0;Casino Royale|Skyfall|Spectre;
434;Sarah Paulson;43.0;66.0;0;1;0;1;0;12 Years a Slave|Carol|Martha Marcy May Marlene;
435;Kate McKinnon;34.0;63.5;0;1;0;0;1;Ghostbusters|Saturday Night Live|Rough Night;
436;Sean Connery;87.0;74.0;1;0;0;1;0;The Rock|The Untouchables|Goldfinger;Sir Sean Connery|Big Tam
437;Gary Oldman;60.0;68.5;1;0;0;1;0;Tinker Tailor Soldier Spy|Darkest Hour|The Dark Knight;Maurice Escargot|Gary von Oldman|Gaz
438;Dylan O'Brien;26.0;71.0;1;0;0;0;0;Teen Wolf|The Maze Runner|Maze Runner: The Scorch Trials;
439;Monica Bellucci;53.0;67.5;0;1;0;0;0;Malèna|The Matrix Reloaded|Brotherhood of the Wolf;Bellucci|visitor of Bianca
