rank;name;age;height;Actor;Actress;Director;Producer;Writer;titles;aliases
52;Alia Shawkat;29.0;65.0;0;1;0;1;0;Arrested Development|The To Do List|Whip It;Rich Aliaändanost|Allie
53;Hannah John-Kamen;;66.0;0;1;0;0;0;Ready Player One|Ant-Man and the Wasp|Black Mirror;Hannah John Kamen
54;Jesse Plemons;30.0;70.0;1;0;0;0;0;Battleship|Black Mass|Game Night;Meth Damon
55;Carey Mulligan;33.0;67.0;0;1;0;1;0;Never Let Me Go|An Education|Shame;
56;Blake Lively;30.0;70.0;0;1;0;1;0;Gossip Girl|The Age of Adaline|The Shallows;
57;Danielle Harris;41.0;59.0;0;1;1;1;0;Don't Tell Mom the Babysitter's Dead|Halloween 4: The Return of Michael Myers|Halloween II;Danielle Andrea Harris
58;Chris Pratt;38.0;74.0;1;0;0;1;0;Guardians of the Galaxy|The Lego Movie|Parks and Recreation;Monkeyboy
59;Rachel McAdams;39.0;64.0;0;1;0;0;0;The Notebook|Mean Girls|Red Eye;Rachel Mcadams|Rach
60;Michael B. Jordan;31.0;71.5;1;0;1;1;0;Fruitvale Station|Creed|Fantastic Four;Michael B Jordan|Michael Jordan
61;Chris Hemsworth;34.0;75.0;1;0;0;0;0;The Avengers|Thor|Thor: Ragnarok;Kip
62;Sam Claflin;31.0;71.0;1;0;0;1;0;The Hunger Games: Catching Fire|Me Before You|Snow White and the Huntsman;Samuel Claflin|Claf
63;Izabela Vidovic;17.0;64.0;0;1;0;1;1;Wonder|Homefront|The Fosters;Bela
64;Justin Prentice;;70.5;1;0;0;1;0;13 Reasons Why|Malibu Country|Awkward.;
65;Elisabeth Moss;35.0;63.0;0;1;0;1;0;The One I Love|The Handmaid's Tale|Queen of Earth;Elissabeth Moss|Elizabeth Moss|Liz Moss
66;Jennifer Connelly;47.0;66.5;0;1;0;0;0;A Beautiful Mind|Requiem for a Dream|House of Sand and Fog;Jenny C
67;Roseanne Barr;65.0;64.0;0;1;0;1;1;Roseanne|Freddy's Dead: The Final Nightmare|Look Who's Talking Too;Mrs. Tom Arnold|Roseane Arnold|Roseanne Barr Arnold
68;Miles Heizer;24.0;70.0;1;0;0;0;0;Nerve|Rails & Ties|Love, Simon;
69;Anita Briem;;64.0;0;1;0;0;0;Journey to the Center of the Earth|Dylan Dog: Dead of Night|Elevator;
70;Alexa Davalos;36.0;68.0;0;1;0;0;0;Defiance|The Chronicles of Riddick|Clash of the Titans;
71;Michael C. Hall;47.0;70.0;1;0;0;1;0;Dexter|Gamer|Six Feet Under;Michael Hall
72;Abigail Spencer;;65.0;0;1;0;1;1;Mad Men|Rectify|Oz the Great and Powerful;Abigail Leigh Spencer|Abby
73;Cole Sprouse;25.0;72.0;1;0;0;1;0;Riverdale|Friends|Big Daddy;The Sprouse Twins|Cole Mitchell Sprouse
74;Julian Dennison;15.0;63.0;1;0;0;0;0;Hunt for the Wilderpeople|Deadpool 2|Shopping;
75;Helena Bonham Carter;52.0;62.0;0;1;0;1;0;Les Misérables|Sweeney Todd: The Demon Barber of Fleet Street|Fight Club;Helena Bonham-Carter
76;Brandon Flynn;24.0;71.0;1;0;0;1;0;13 Reasons Why|BrainDead|Looks That Kill;
77;Elizabeth Debicki;27.0;75.0;0;1;0;0;0;The Great Gatsby|Guardians of the Galaxy Vol. 2|The Man from U.N.C.L.E.;
78;Rami Malek;37.0;69.0;1;0;0;1;0;Mr. Robot|Short Term 12|Need for Speed;
79;Brooke Shields;53.0;70.5;0;1;0;1;0;The Blue Lagoon|Pretty Baby|Suddenly Susan;Brookie
80;Minka Kelly;;65.0;0;1;0;0;0;500 Days of Summer|The Roommate|Just Go with It;
81;Elizabeth Olsen;29.0;66.0;0;1;0;1;0;Martha Marcy May Marlene|Captain America: Civil War|Avengers: Infinity War;Lizzie Olsen|Lizzie|Liz
82;Nick Robinson;;74.0;1;0;0;0;0;Jurassic World|Everything, Everything|Boardwalk Empire;Nick J. Robinson|Nick
83;Brad Pitt;54.0;71.0;1;0;0;1;0;Mr. & Mrs. Smith|Moneyball|Twelve Monkeys;Weatherman
84;Sylvia Hoeks;35.0;69.0;0;1;0;0;0;Blade Runner 2049|The Best Offer|Whatever Happens;Sylvia Hoecks|Sylvia Hoek
85;Jesse Williams;;73.0;1;0;1;1;0;The Cabin in the Woods|Grey's Anatomy|Brooklyn's Finest;J. Wesley Williams
86;Sarah Wayne Callies;41.0;68.75;0;1;1;0;1;Prison Break|Into the Storm|Colony;Sarah Callies
87;Astrid Bergès-Frisbey;32.0;67.5;0;1;0;0;0;King Arthur: Legend of the Sword|I Origins|Pirates of the Caribbean: On Stranger Tides;
88;Benedict Cumberbatch;41.0;72.0;1;0;0;1;0;The Imitation Game|Star Trek: Into Darkness|August: Osage County;Benedikuto Kanbâbatchi|Ben
89;Gal Gadot;33.0;70.25;0;1;0;1;0;Wonder Woman|Batman v Superman: Dawn of Justice|Furious 7;
90;Scarlett Johansson;33.0;63.0;0;1;1;0;0;Her|Lost in Translation|The Avengers;Scarlett Johanssen
91;Leonardo DiCaprio;43.0;72.0;1;0;0;1;1;Inception|The Departed|The Wolf of Wall Street;Leonardo Di Caprio|Leo DiCaprio|Leo
92;Sosie Bacon;26.0;;0;1;0;0;0;Loverboy|13 Reasons Why|Scream: The TV Series;
93;Natalie Portman;36.0;63.0;0;1;0;1;0;Black Swan|V for Vendetta|Jackie;Nat
94;Bailee Madison;18.0;66.0;0;1;0;1;0;Bridge to Terabithia|Brothers|Just Go with It;Bailee Madison Williams Holte|Bail|Bailes
95;Zoe Saldana;39.0;66.5;0;1;0;1;1;Avatar|Guardians of the Galaxy|Star Trek;Zoë Saldana|Zoe Saldaña|Zoë Saldaña
96;Dwayne Johnson;46.0;77.25;1;0;0;1;0;Journey 2: The Mysterious Island|Jumanji: Welcome to the Jungle|Moana;Dwayne 'The Rock' Johnson|Dwayne Douglas Johnson|Seiuli Dwayne 'The Rock' Johnson
97;Talulah Riley;32.0;68.25;0;1;1;0;1;Westworld|Pride & Prejudice|Inception;
98;Hayley Atwell;36.0;66.5;0;1;0;0;0;Captain America: The First Avenger|Ant-Man|Captain America: The Winter Soldier;Hayley Attwell
99;Sebastian Stan;35.0;72.25;1;0;0;0;0;Captain America: Civil War|Captain America: The Winter Soldier|Captain America: The First Avenger;
100;Emily Blunt;35.0;67.0;0;1;0;0;0;Edge of Tomorrow|The Devil Wears Prada|The Adjustment Bureau;Em
101;Lily James;29.0;67.0;0;1;0;0;0;Cinderella|Pride and Prejudice and Zombies|Baby Driver;
102;Robert Downey Jr.;53.0;68.5;1;0;0;1;0;Iron Man|Sherlock Holmes|Iron Man 3;Bob Downey|Robert Downey|Robert Downey Jr
103;Harrison Ford;75.0;73.0;1;0;0;1;1;Raiders of the Lost Ark|Witness|The Fugitive;Jethro the Bus Driver|Harrison J. Ford|Harry
104;AnnaSophia Robb;24.0;60.0;0;1;0;0;0;Bridge to Terabithia|Soul Surfer|The Way Way Back;Annasophia Robb
105;Jennifer Jason Leigh;56.0;63.0;0;1;0;1;0;The Hateful Eight|Dolores Claiborne|Anomalisa;Jennifer Leigh|JJL
106;Alisha Boe;;64.0;0;1;0;0;0;13 Reasons Why|68 Kill|Casual;
107;Woody Harrelson;56.0;69.5;1;0;0;1;0;True Detective|The People vs. Larry Flynt|Natural Born Killers;
108;Chris Evans;36.0;72.0;1;0;1;1;0;The Avengers|Captain America: The First Avenger|Captain America: Civil War;Cevans
109;Bryan Dechart;;72.0;1;0;1;0;0;Detroit: Become Human|The Remaining|Dakota's Summer;
110;Laura Bailey;;65.0;0;1;0;0;0;Uncharted 4: A Thief's End|Halo 5: Guardians|Gears of War 4;Elle Deets
111;Vanessa Kirby;;67.0;0;1;0;0;0;The Crown|Mission: Impossible - Fallout|About Time;Noola Noo
112;Kelly Rohrbach;27.0;69.0;0;1;0;0;0;Baywatch|Broad City|Café Society;
113;Lea Thompson;57.0;63.0;0;1;1;1;0;Back to the Future Part II|Back to the Future|Howard the Duck;
114;Jessica Chastain;41.0;64.0;0;1;0;1;0;Zero Dark Thirty|The Tree of Life|Interstellar;
115;Melissa McCarthy;47.0;62.0;0;1;0;1;0;The Heat|Spy|Bridesmaids;
116;Emily Ratajkowski;26.0;67.0;0;1;0;0;0;We Are Your Friends|Gone Girl|Entourage;
117;John Krasinski;38.0;75.0;1;0;0;1;0;A Quiet Place|The Office|Something Borrowed;
118;Tom Hiddleston;37.0;74.25;1;0;0;1;0;The Avengers|Thor|The Night Manager;Hiddles
119;Michelle Williams;37.0;64.0;0;1;0;1;0;Blue Valentine|My Week with Marilyn|Manchester by the Sea;
120;Andy Serkis;54.0;68.0;1;0;0;1;0;War for the Planet of the Apes|Rise of the Planet of the Apes|Dawn of the Planet of the Apes;Andy Serkis and The Blockheads|Gollum
121;Logan Marshall-Green;41.0;71.0;1;0;0;1;0;The Invitation|Spider-Man: Homecoming|Devil;Logan Marshall Green
122;Clancy Brown;59.0;75.75;1;0;0;1;0;The Shawshank Redemption|Starship Troopers|Thor: Ragnarok;
123;Bill Skarsgård;27.0;75.75;1;0;0;0;0;It|Allegiant|Deadpool 2;Bill Skarsgard|Billie
124;K.J. Apa;20.0;71.0;1;0;0;0;0;Riverdale|The Cul De Sac|A Dog's Purpose;KJ Apa|KJ
125;Christian Navarro;;67.0;1;0;0;0;0;13 Reasons Why|Bushwick|Vinyl;
126;Charlize Theron;42.0;69.5;0;1;0;1;0;Monster|Mad Max: Fury Road|Snow White and the Huntsman;Sharliz Teron|Charlie
127;Max Minghella;32.0;70.0;1;0;0;1;1;The Social Network|Horns|The Darkest Hour;
128;Christina Hendricks;43.0;68.0;0;1;0;0;0;Ginger & Rosa|The Neon Demon|Mad Men;
129;Jason Momoa;38.0;76.0;1;0;1;1;0;Justice League|Conan the Barbarian|Stargate: Atlantis;
130;Milly Shapiro;;;0;1;0;0;0;Hereditary|Broadway Kids Against Bullying: I Have a Voice|The 67th Annual Tony Awards;
131;Chadwick Boseman;40.0;72.0;1;0;0;1;1;Black Panther|Captain America: Civil War|42;Chad Boseman|Chad
132;Cate Blanchett;49.0;68.0;0;1;1;1;0;Carol|Blue Jasmine|Elizabeth;
133;Hailee Steinfeld;21.0;67.0;0;1;0;0;0;True Grit|The Edge of Seventeen|Pitch Perfect 2;
134;Amanda Seyfried;32.0;62.5;0;1;0;1;0;Les Misérables|Mean Girls|Dear John;
135;Keri Russell;42.0;64.0;0;1;0;0;0;Waitress|Mission: Impossible III|Dawn of the Planet of the Apes;Care Bear
136;Keanu Reeves;53.0;73.25;1;0;0;1;0;The Matrix|Speed|Point Break;Norman Kreeves|K.C. Reeves|Keannu Reeves
137;Christopher Nolan;47.0;71.5;0;0;1;1;1;Interstellar|Inception|The Prestige;Chris Nolan|Chris
138;Angelina Jolie;43.0;66.75;0;1;1;1;0;Maleficent|Girl, Interrupted|Changeling;Angelina|Angelina Jolie Pitt|Angelina Jolie Voight
139;Eline Powell;;64.0;0;1;0;0;0;Siren|Game of Thrones;
140;Priyanka Chopra;35.0;66.5;0;1;0;1;0;Baywatch|Bajirao Mastani|Barfi!;Piggy Chops|Mimi|Piggy Chops
141;Ana de Armas;;66.25;0;1;0;0;0;Blade Runner 2049|Hands of Stone|War Dogs;Ana De Armas|Ana Celia de Armas
142;Chloë Grace Moretz;21.0;64.0;0;1;0;0;0;Let Me In|The 5th Wave|If I Stay;Chloe Grace|Kuroe Gurêsu Morettsu|Chloe Grace Moretz
143;Zac Efron;30.0;68.0;1;0;0;1;0;High School Musical 3: Senior Year|17 Again|Hairspray;Zachary Efron|Zefron
144;Mary Elizabeth Winstead;33.0;68.0;0;1;0;1;0;10 Cloverfield Lane|Scott Pilgrim vs. the World|Smashed;MEW|Mary
145;Claire Foy;34.0;64.0;0;1;0;0;0;The Crown|Season of the Witch|Breathe;
146;Olivia Cooke;24.0;65.5;0;1;0;0;0;Ready Player One|Me and Earl and the Dying Girl|Ouija;
147;Stephanie Corneliussen;;71.0;0;1;0;0;0;Mr. Robot|The Rebels|Legends of Tomorrow;
148;Dakota Fanning;24.0;64.0;0;1;1;0;0;War of the Worlds|I Am Sam|Man on Fire;Kota
149;Emma Kenney;18.0;67.0;0;1;0;0;0;Shameless|Epic|Bittersweet;
150;Parker Posey;49.0;65.0;0;1;0;0;1;Superman Returns|Scream 3|Blade: Trinity;Missy|Queen of the Indies
151;Christa Miller;54.0;68.5;0;1;0;0;0;Scrubs|The Drew Carey Show|Cougar Town;Christa Miller Lawrence
152;Johnny Depp;54.0;70.0;1;0;0;1;0;Pirates of the Caribbean: The Curse of the Black Pearl|Sweeney Todd: The Demon Barber of Fleet Street|Pirates of the Caribbean: At World's End;J. Depp|The Hollywood Vampires|Guy Lapointe
153;Daisy Ridley;26.0;67.0;0;1;0;1;0;Star Wars: Episode VII - The Force Awakens|Star Wars: The Last Jedi|Murder on the Orient Express;
154;Bruce Willis;63.0;72.0;1;0;0;1;0;Die Hard|Pulp Fiction|Moonlighting;W.B. Willis|Bruno
155;Hugh Jackman;49.0;74.25;1;0;0;1;0;Les Misérables|Logan|X-Men Origins: Wolverine;Khyu Dzhekman|Hyû Jakkuman
156;Pom Klementieff;32.0;67.0;0;1;0;0;0;Guardians of the Galaxy Vol. 2|Old Boy|Avengers: Infinity War;Pominator
157;Amy Schumer;37.0;67.0;0;1;0;1;1;Trainwreck|Inside Amy Schumer|Snatched;Amy Beth Schumer|Amy Shumer
158;Brigitte Nielsen;54.0;73.0;0;1;0;1;0;Red Sonja|Beverly Hills Cop II|Gitte Talks;Brigitte Neilsen|Gitte Nielsen|The Great Dane
159;Luke Hemsworth;;69.5;1;0;0;0;0;Thor: Ragnarok|Westworld|Thor: The Dark World;
160;Joel Kinnaman;;74.5;1;0;0;0;0;RoboCop|Suicide Squad|The Darkest Hour;Joel Kinnamann|Joel Nordström
161;Elle Fanning;20.0;69.0;0;1;0;1;0;Super 8|The Neon Demon|Maleficent;Elbow
162;Lili Reinhart;21.0;66.0;0;1;0;0;0;Riverdale|The Kings of Summer|The First Hope;Lil
163;Letitia Wright;24.0;;0;1;0;0;0;Black Panther|The Commuter|Black Mirror;
164;Cillian Murphy;42.0;69.0;1;0;0;1;0;28 Days Later...|Inception|Red Eye;Cilly
165;Idina Menzel;47.0;64.0;0;1;0;0;0;Frozen|Rent|Enchanted;Dee|Adele Dazeem
166;Anne Hathaway;35.0;68.0;0;1;0;1;0;Les Misérables|The Dark Knight Rises|Rachel Getting Married;An Hasawei|Anne Whitney Hathaway|Ann Hathaway
167;Suki Waterhouse;26.0;68.5;0;1;0;1;0;Insurgent|Love, Rosie|The Bad Batch;
168;Joseph Fiennes;48.0;72.0;1;0;1;1;0;Shakespeare in Love|The Merchant of Venice|Elizabeth;Joe
169;Walton Goggins;46.0;71.0;1;0;0;1;0;Justified|The Hateful Eight|Predators;Walt Goggins
170;Tom Hanks;61.0;72.0;1;0;0;1;0;Cast Away|Saving Private Ryan|Forrest Gump;Tomu Hankusu
171;Rosamund Pike;39.0;68.5;0;1;0;0;0;Gone Girl|Die Another Day|Pride & Prejudice;Ros
